name,short_label,long_label,ag_category_id
fruit / vegetable,endive 5 fruits,endive 5 fruits,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,carotte,carotte,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,labell mch bt cub ad,labell mch bt cub ad,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,x6 knacki original,knacki,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,dom. galuval 2014,vin rouge,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,allum.lard.fum.u vpf 2x100g,allum.lard.fum.u vpf 2x100g,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,ail blanc vrac,ail,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,fuet nature 150g,saucisson sec,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,"vodka 37,5d 70cl 1er",vodka,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,"a 31 533 herta 200g authentique jambon                 3,74","a 31 533 herta 200g authentique jambon                 3,74",999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,03338366002   dm carottes 3 lb    mrj,03338366002   dm carottes 3 lb    mrj,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,courgette vrac,courgette,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,anan,banane,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pois chiches  1/2 notre jardin,pois chiche,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,04*patate douce vrac,04*patate douce vrac,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,dos de cabil laud,dos de cabil laud,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,radis,radis,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,st eloi asperge bl b,st eloi asperge bleu b,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,aubergine                    ,aubergine                    ,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,sauté de porc s,sauté de porc,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,chou de bruxelles (tr),chou de bruxelles,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jbon cuit sup.ac u 6tr 270g,jambon cuit,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,biere 166,biere 166,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,haricots bee ir tf 440g n.. ard,haricot vert,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,boucherie dufrais,boucherie,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,courgette,courgette,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,banane vrac,banane vrac,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,185g salade poulet,185g salade poulet,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,BIERE 50CL,bière,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,* ter camp conf porc 2x180g,terrine de campagne,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,jambon paris dd 8tr 340g,jambon paris découenné dégraissé 8tr 340g,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,endive,endive,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,v bovine  1 x entreco,v bovine  1 x entreco,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,abricots 1kg,abricot,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,poivrons rouges,poivron rouge,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,4 barq jett .fraise lu,4 barq jett .fraise lu,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,FINDUS EPD HACHES CREME 600G,épinard,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jambon italien,jambon à l'italienne,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,clémentines,clémentine,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,foie gr canard ent,foie gras,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,Thon au naturel x2,thon conserve au naturel,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,croque baby x5,poisson pané,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,betteraves entier ep,betteraves entier ep,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,courgette vrac stand,courgette,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,noix 150 gr,noix,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,3 chevre chaud 4x25g,3 chevre chaud 4x25g,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,navet vrac,navet vrac,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,broche valentin petite,broche valentin petite,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,hache 15%mat.gr u 500g,viande hachée,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,oignon 1kg prix bas,oignon,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,banane open top vr,banane,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,thon enter  h oliv,thon enter  h oliv,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,endive culture fr,endive,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,salade montmartre sodebo 320g,salade,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,eminces de poulet roti+20%gr,poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,tomate cotelee noire,tomate cotelée,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pdt conserv blche,pomme de terre,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,t budget choux fleur,t budget choux fleur,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,salade de carottes,salade de carottes,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,calamis a la rorain,calamis a la rorain,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,poire 1 kg,poire,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jambon cuit emila,jambon cuit,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,PAUPIETTE DINDE X4,paupiette de volaille,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,hache boeuf 4x100g,viande hachée,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,ws colin alaska cit&,ws colin alaska cit&,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,farci saumon st jacques 450g,poisson,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,tél. boucherie    071 72.57.05                08.30,tél. boucherie    071 72.57.05                08.30,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,ranou jbn sec sup 6t,jambon sec,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,crevet crue en,crevette grise,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,poitrine fumee,poitrine,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,monbazillac aop,vin blanc,999af406-e28b-11e8-914c-a860b6114cef
alcohol,freixenet br.cordon negro 75cl,vin mousseux,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,tomate allongee vra,tomate allongée,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pêche 1 kg,pêche,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,filet plt tranche x2,filet de poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,epices divers botte,epices divers botte,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,choux 4 x fleurs 99 surgeles-1kg moins,choux 4 x fleurs 99 surgeles-1kg moins,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,bio salade sucrine,sucrine,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"4 crousty chicken lg             4, 95x2",nuggets,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,escalope de dinde u x2,escalope de dinde u x2,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,boni selection 10 g maïs doux,maïs conserve,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,* charcuterie coupe,* charcuterie coupe,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,aiguillettes plt roti u 1608,aiguillettes poulet roti u 1608,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,pdt chair fondante 2.5kg,pomme de terre,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,hache vrac crf bio,viande hachée,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,fraises so fruit,fraises so fruit,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,divers,divers,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,banane hi                                                                               1,banane hi                                                                               1,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,*8 paupiette veau mo,*8 paupiette veau moulu,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,igp doc,igp doc,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,aiguillettes de poul,aiguillette de poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,legumes frai,legumes frai,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,emince de filet de p,poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,papillote plet curry deshy 30g,papillote poulet curry deshy 30g,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,pomelo piece,pomelo piece,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,herta tendre noix br,herta tendre noix br,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,banane,banane,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,auchan sh fb 5% 6x100grs,steak haché,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,320g sld.manhattan,salade,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,melon gros,melon,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,pastouret pastis 45d,pastis,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,betterave chioggia,betterave chioggia,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,st eloi lentilles bl,st eloi lentilles bleu,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,CDR VILL RG AMOURIERS 75CL,Côtes du Rhône Village Domaine des Amouriers 75CL,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,4t jambon sup ac,jambon supérieur,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,boucherie libre service indust,boucherie,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,vitakroneasalade de poulet,vitakroneasalade de poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,canneberges sucrées,canneberges sucrées,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,blanc de poi reau,blanc de poi reau,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,avocat gros calibre,avocat,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,*200g lardons fumes,lardon fumé,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,100g crevettes jum,crevette,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,aeg handmixer,aeg handmixer,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,orange jus 6kg cee,orange à jus,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,oranges 2kg,orange,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,bodega fruits roug,bodega fruits roug,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pomme golden fqc,pomme Golden,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,porto sandman ruby     75cl 19t,porto,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,oignon jaune crf,oignon jaune,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,haricots rouges u 250g,haricot rouge,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,asc filet de p/asc pangasiusf,poisson,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,"04 04*endive viande a bovine braiser langue x4 entie     0,99","04 04*endive viande a bovine braiser langue x4 entie     0,99",999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,champignons de paris 500gr,champignon blanc,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jambon wesphalie 150g,jambon cru,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,bavetted,bavetted,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,4 teak hache chf )ol,4 teak hache chf )ol,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,knorr poulet au four,knorr poulet au four,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,faucopnnerie bio cidr,cidre,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,echalote traditionne,echalote traditionne,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,mini saucissons secs,mini saucisson sec,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,oignon a cuire 1kg,oignon,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"04 FLEURY  JB LE SUP TSR SC BB       3,25",jambon supérieur,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,"1 tournedos                 1,97","1 tournedos                 1,97",999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,lardons fumes psa,lardon fumé,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,salade feuille ch.,feuille de chêne,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jmb sup.sc 4tr bio vil tradil,jambon supérieur,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,batavia,batavia,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,vin de pays,vin de pays,999af406-e28b-11e8-914c-a860b6114cef
fruit / vegetable,poire williams verte,poire,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,"kwak biere, 33cl",bière,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,merguez  1 kg,merguez  1 kg,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,fm blanc de poulet h,blanc de poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,champignon 1kg  t1,champignon frais,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,bq 1kg abricot pp,abricot,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,lot 2x4tr. rotu po,poulet rôti,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,JARRET AVANT,jarret de porc,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,escalope de dinde,escalope de dinde,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,merguez de boeuf,merguez,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,pot agata filet  2,pomme de terre,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,orange  a jus moro,orange  a jus moro,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,feuille de chene rouge pie,feuille de chêne,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,24xsamia haricots rouges 1kg,24xsamia haricots rouges 1kg,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,seloi coeur art 240g,artichaut,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,bananevrac,bananevrac,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,concombre,concombre,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,champignons blancs,champignon blanc,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pois chiches 265 g,pois chiches 265 g,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,a 29707 courgettes (vrac),courgette,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,"0.455 kg  x 1,99",pomme Golden,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,udysse msc 4tr colin,colin d'Alaska,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,xerqx4 pom. chant,pomme,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,de merlan,de merlan,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,banan 0.175lg  x,banane,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"a eur 15,29 alo bavette",bœuf,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,pommes granny smith,pomme granny,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,poivron mix 500g,poivron mix 500g,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,celeri branche,céleri branche,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,betterave,betterave,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,filets de colin d'al,colin d'Alaska,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,total comptoir boucherie,boucherie,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,cuisse canard x4,cuisse de canard,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,nautilus filet cabil,nautilus filet cabil,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,ail,ail,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,pomelo exotique/chin,pomelo exotique/chin,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,filets colin alaska,colin d'Alaska,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,tomate cerise,tomate cerise,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,6 escalope dde s/at,6 escalope dde s/at,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,lent.vertes v.paille cello500g,lentille,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"lardon eminc fum,tradil x2,200g",lardon fumé,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,(5)6111128000071 eau danone a/s 1.0l,(5)6111128000071 eau danone a/s 1 0l,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,bio ail 3 tete cee,ail,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,tomates grappes vrac,tomate grappe,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,salad roma,salad roma,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,duc laurier sh 17g,laurier,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,duo feuil.chene rge/verte.125g,feuille de chêne,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,160g 4t jbn sup dd,jambon supérieur,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,viande des grisons e,viande des grisons,999b02ca-e28b-11e8-97ef-a860b6114cef
alcohol,skoll biere 33 cl,bière aromatisée,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,ranou jbon gourmand,jambon blanc,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,04*ail bio auchan,ail,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"roti de plet ,100g","roti de poulet ,100g",999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,1.555 kg x 2.50,1.555 kg x 2.50,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,salade de ble,salade de ble,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,jbon le torchon sc 25%sel 7tr,jambon sec,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,concombre piece,concombre,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,orange bio filet 1kg,orange,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,"elitiere pt it animx       2,99x2","elitiere pt it animx       2,99x2",999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,aile poulet jaune,aile de poulet,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,nuggets de poulet av,nuggets,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,peche 1 kg,pêche,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,citron jaune bien vu flt 500g,citron jaune bien vu filet 500g,999b147a-e28b-11e8-a659-a860b6114cef
fruit / vegetable,4/4 haricot vert,haricot vert,999b147a-e28b-11e8-a659-a860b6114cef
alcohol,biere ambree kekette 6.9° 33cl,bière ambrée,999af406-e28b-11e8-914c-a860b6114cef
meat / fish,herta knacki origina,herta knacki origina,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,Betterave cuite 500,Betterave cuite 500g,999b147a-e28b-11e8-a659-a860b6114cef
meat / fish,fil lim meux4 400g,filet de limande,999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,"sih ! e raf de f310      0 , 4.6","sih ! e raf de f310      0 , 4.6",999b02ca-e28b-11e8-97ef-a860b6114cef
meat / fish,saucisses de toulouse,saucisse de toulouse,999b02ca-e28b-11e8-97ef-a860b6114cef
fruit / vegetable,haricot vert fin,haricot vert,999b147a-e28b-11e8-a659-a860b6114cef
